Episode	 Steps	 Score	 Best_Score	 Epsilon	
151	 250	 0.00	 0.82	 0.67	
152	 250	 0.00	 0.82	 0.67	
153	 157	 0.43	 0.82	 0.67	
154	 250	 0.00	 0.82	 0.66	
155	 70	 0.75	 0.82	 0.66	
156	 250	 0.00	 0.82	 0.66	
157	 250	 0.00	 0.82	 0.66	
158	 250	 0.00	 0.82	 0.66	
159	 250	 0.00	 0.82	 0.65	
160	 250	 0.00	 0.82	 0.65	
161	 250	 0.00	 0.82	 0.65	
162	 250	 0.00	 0.82	 0.65	
163	 250	 0.00	 0.82	 0.64	
164	 250	 0.00	 0.82	 0.64	
165	 250	 0.00	 0.82	 0.64	
166	 250	 0.00	 0.82	 0.64	
167	 250	 0.00	 0.82	 0.63	
168	 250	 0.00	 0.82	 0.63	
169	 250	 0.00	 0.82	 0.63	
170	 250	 0.00	 0.82	 0.63	
171	 250	 0.00	 0.82	 0.62	
172	 250	 0.00	 0.82	 0.62	
173	 250	 0.00	 0.82	 0.62	
174	 250	 0.00	 0.82	 0.62	
175	 250	 0.00	 0.82	 0.61	
176	 250	 0.00	 0.82	 0.61	
177	 250	 0.00	 0.82	 0.61	
178	 250	 0.00	 0.82	 0.61	
179	 250	 0.00	 0.82	 0.60	
180	 250	 0.00	 0.82	 0.60	
181	 250	 0.00	 0.82	 0.60	
182	 250	 0.00	 0.82	 0.60	
183	 250	 0.00	 0.82	 0.59	
184	 250	 0.00	 0.82	 0.59	
185	 250	 0.00	 0.82	 0.59	
186	 250	 0.00	 0.82	 0.59	
187	 220	 0.21	 0.82	 0.58	
188	 250	 0.00	 0.82	 0.58	
189	 126	 0.55	 0.82	 0.58	
190	 250	 0.00	 0.82	 0.58	
191	 250	 0.00	 0.82	 0.57	
192	 250	 0.00	 0.82	 0.57	
193	 250	 0.00	 0.82	 0.57	
194	 250	 0.00	 0.82	 0.57	
195	 250	 0.00	 0.82	 0.56	
196	 215	 0.23	 0.82	 0.56	
197	 121	 0.56	 0.82	 0.56	
198	 250	 0.00	 0.82	 0.56	
199	 250	 0.00	 0.82	 0.56	
200	 250	 0.00	 0.82	 0.55	
201	 142	 0.49	 0.82	 0.55	
202	 68	 0.76	 0.82	 0.55	
203	 250	 0.00	 0.82	 0.55	
204	 250	 0.00	 0.82	 0.55	
205	 250	 0.00	 0.82	 0.54	
206	 217	 0.22	 0.82	 0.54	
207	 250	 0.00	 0.82	 0.54	
208	 250	 0.00	 0.82	 0.54	
209	 250	 0.00	 0.82	 0.53	
210	 216	 0.22	 0.82	 0.53	
