Episode	 Steps	 Score	 Best_Score	 Epsilon	
151	 205	 0.26	 0.91	 0.71	
152	 149	 0.46	 0.91	 0.71	
153	 26	 0.91	 0.91	 0.71	
154	 144	 0.48	 0.91	 0.71	
155	 140	 0.50	 0.91	 0.71	
156	 250	 0.00	 0.91	 0.71	
157	 159	 0.43	 0.91	 0.71	
158	 195	 0.30	 0.91	 0.70	
159	 15	 0.95	 0.91	 0.70	
160	 58	 0.79	 0.95	 0.70	
161	 232	 0.16	 0.95	 0.70	
162	 165	 0.41	 0.95	 0.70	
163	 43	 0.85	 0.95	 0.70	
164	 250	 0.00	 0.95	 0.70	
165	 250	 0.00	 0.95	 0.69	
166	 250	 0.00	 0.95	 0.69	
167	 250	 0.00	 0.95	 0.69	
168	 220	 0.21	 0.95	 0.69	
169	 63	 0.77	 0.95	 0.69	
170	 90	 0.68	 0.95	 0.69	
171	 250	 0.00	 0.95	 0.68	
172	 250	 0.00	 0.95	 0.68	
173	 159	 0.43	 0.95	 0.68	
174	 169	 0.39	 0.95	 0.68	
175	 102	 0.63	 0.95	 0.68	
176	 207	 0.25	 0.95	 0.67	
177	 104	 0.63	 0.95	 0.67	
178	 250	 0.00	 0.95	 0.67	
179	 54	 0.81	 0.95	 0.67	
180	 109	 0.61	 0.95	 0.67	
181	 69	 0.75	 0.95	 0.67	
182	 177	 0.36	 0.95	 0.67	
183	 146	 0.47	 0.95	 0.66	
184	 90	 0.68	 0.95	 0.66	
185	 250	 0.00	 0.95	 0.66	
186	 23	 0.92	 0.95	 0.66	
187	 42	 0.85	 0.95	 0.66	
188	 209	 0.25	 0.95	 0.66	
189	 31	 0.89	 0.95	 0.66	
190	 183	 0.34	 0.95	 0.66	
191	 183	 0.34	 0.95	 0.65	
192	 54	 0.81	 0.95	 0.65	
193	 184	 0.34	 0.95	 0.65	
194	 168	 0.40	 0.95	 0.65	
195	 57	 0.79	 0.95	 0.65	
196	 49	 0.82	 0.95	 0.65	
197	 250	 0.00	 0.95	 0.65	
