,episodes,avg_reward
0,0,0.0
1,1,0.0
2,2,0.15
3,3,0.11249999999999999
4,4,0.18375
5,5,0.15312499999999998
6,6,0.13125
7,7,0.11484375
8,8,0.14722222222222223
9,9,0.199375
10,10,0.22045454545454543
11,11,0.24739583333333334
12,12,0.2283653846153846
13,13,0.21205357142857142
14,14,0.19791666666666666
15,15,0.185546875
16,16,0.17463235294117646
17,17,0.1875
18,18,0.17763157894736842
19,19,0.16875
20,20,0.16071428571428573
21,21,0.18835227272727273
22,22,0.19701086956521738
23,23,0.18880208333333334
24,24,0.18125
25,25,0.18798076923076923
26,26,0.18101851851851852
27,27,0.17455357142857145
28,28,0.17629310344827587
29,29,0.17041666666666666
30,30,0.18346774193548387
31,31,0.2013671875
32,32,0.1952651515151515
33,33,0.1895220588235294
34,34,0.18410714285714286
35,35,0.17899305555555556
36,36,0.1741554054054054
37,37,0.1695723684210526
38,38,0.16522435897435897
39,39,0.16109374999999998
40,40,0.17164634146341462
41,41,0.1675595238095238
42,42,0.16366279069767442
43,43,0.15994318181818182
44,44,0.15638888888888888
45,45,0.1529891304347826
46,46,0.14973404255319148
47,47,0.14661458333333333
48,48,0.1565051020408163
49,49,0.159375
50,50,0.1719362745098039
51,51,0.16862980769230768
52,52,0.16945754716981132
53,53,0.16631944444444444
54,54,0.16329545454545452
55,55,0.17299107142857142
56,56,0.1699561403508772
57,57,0.16702586206896552
58,58,0.17627118644067796
59,59,0.17333333333333334
60,60,0.17049180327868854
61,61,0.16774193548387098
62,62,0.16507936507936508
63,63,0.17275390624999998
64,64,0.1700961538461538
65,65,0.16751893939393936
66,66,0.16501865671641788
67,67,0.16259191176470586
68,68,0.17092391304347826
69,69,0.16848214285714286
70,70,0.16610915492957745
71,71,0.16380208333333332
72,72,0.1615582191780822
73,73,0.17086148648648647
74,74,0.1685833333333333
75,75,0.16636513157894736
76,76,0.16420454545454544
77,77,0.16209935897435895
78,78,0.16004746835443037
79,79,0.16703125000000002
80,80,0.16496913580246914
81,81,0.16295731707317074
82,82,0.16099397590361447
83,83,0.15907738095238097
84,84,0.1572058823529412
85,85,0.1585029069767442
86,86,0.15818965517241382
87,87,0.15639204545454546
88,88,0.15463483146067417
89,89,0.15291666666666667
90,90,0.15336538461538463
91,91,0.16012228260869565
92,92,0.15840053763440862
93,93,0.1567154255319149
94,94,0.1550657894736842
95,95,0.16184895833333335
96,96,0.1633376288659794
97,97,0.16167091836734696
98,98,0.1600378787878788
99,99,0.16287500000000002
100,100,0.1678125
101,101,0.1678125
102,102,0.1633125
103,103,0.16831249999999998
104,104,0.16362500000000002
105,105,0.16362500000000002
106,106,0.16362500000000002
107,107,0.16362499999999996
108,108,0.1595625
109,109,0.152875
110,110,0.1485625
111,111,0.151
112,112,0.1523125
113,113,0.1523125
114,114,0.155
115,115,0.155
116,116,0.155
117,117,0.1509375
118,118,0.1509375
119,119,0.1509375
120,120,0.157
121,121,0.1493125
122,122,0.1454375
123,123,0.149375
124,124,0.149375
125,125,0.14581249999999998
126,126,0.1458125
127,127,0.14581249999999998
128,128,0.14356249999999998
129,129,0.14356249999999998
130,130,0.14425000000000002
131,131,0.141625
132,132,0.141625
133,133,0.141625
134,134,0.141625
135,135,0.14162499999999997
136,136,0.1434375
137,137,0.1434375
138,138,0.1445625
139,139,0.14456249999999998
140,140,0.138625
141,141,0.1436875
142,142,0.14943749999999997
143,143,0.14943749999999997
144,144,0.15475
145,145,0.16143749999999998
146,146,0.1614375
147,147,0.16425
148,148,0.15793749999999998
149,149,0.1549375
150,150,0.1469375
151,151,0.14693749999999997
152,152,0.14481249999999998
153,153,0.14481249999999998
154,154,0.14862499999999998
155,155,0.14725
156,156,0.14725
157,157,0.15356249999999996
158,158,0.1464375
159,159,0.1464375
160,160,0.1464375
161,161,0.1464375
162,162,0.1464375
163,163,0.139875
164,164,0.139875
165,165,0.139875
166,166,0.143125
167,167,0.143125
168,168,0.13574999999999998
169,169,0.138625
170,170,0.14212499999999997
171,171,0.14212499999999997
172,172,0.14612499999999998
173,173,0.137625
174,174,0.137625
175,175,0.137625
176,176,0.137625
177,177,0.137625
178,178,0.137625
179,179,0.13449999999999998
180,180,0.13449999999999998
181,181,0.1400625
182,182,0.1400625
183,183,0.1400625
184,184,0.1400625
185,185,0.137375
186,186,0.1360625
187,187,0.13606249999999998
188,188,0.1360625
189,189,0.1360625
190,190,0.134125
191,191,0.126375
192,192,0.1281875
193,193,0.131625
194,194,0.135
195,195,0.1318125
196,196,0.12875
197,197,0.12875000000000003
198,198,0.12875
199,199,0.12431249999999999
200,200,0.11937499999999998
201,201,0.122125
202,202,0.122125
203,203,0.117125
204,204,0.11712499999999998
205,205,0.11712499999999998
206,206,0.12374999999999999
207,207,0.12606249999999997
208,208,0.12606249999999997
209,209,0.12606249999999997
210,210,0.1260625
211,211,0.1181875
212,212,0.116875
213,213,0.1183125
214,214,0.115625
215,215,0.11562499999999998
216,216,0.120625
217,217,0.120625
218,218,0.12743749999999998
219,219,0.130875
220,220,0.12481249999999998
221,221,0.13174999999999998
222,222,0.13174999999999998
223,223,0.13068749999999998
224,224,0.13068749999999998
225,225,0.1325
226,226,0.13774999999999998
227,227,0.1404375
228,228,0.1404375
229,229,0.1404375
230,230,0.13399999999999998
231,231,0.12906249999999997
232,232,0.12906249999999997
233,233,0.12906249999999997
234,234,0.12906249999999997
235,235,0.12906249999999997
236,236,0.130625
237,237,0.130625
238,238,0.1295
239,239,0.133125
240,240,0.133125
241,241,0.1280625
242,242,0.126125
243,243,0.126125
